lwmainid,DR_Num,Arizona_Statute_Code,Charge_Description,Attempted_Or_Completed,Report_Date,Date_Occurred,Time_Occurred,Date_Found,Time_Found,District,Beat,Zone,Officer,Location,City,State,Case_Status_Code,Case_Status_Description
653742,22-01313  ,13-3821J,Sex Offender Fail to Obtain or Process Id/License,Completed,03/07/2022,01/20/2022,1306,03/07/2022,1200,D1,01,306,"Kinsey, K.  (B1626)",N Granite Reef Rd / E McDowell Rd,Scottsdale,AZ,LFF,Long Form Filed
655105,22-02720  ,28-2531B1,Fictitious/Stolen/Altered/Suspended Plate,Completed,02/05/2022,02/05/2022,0014,02/05/2022,0014,D3,14,2913,"Livingston, T.  (1576)",N 116th St / E Shea Bl,Scottsdale,AZ,CBA,Cleared By Arrest
655106,22-02721  ,13-2009A1,Agg Take Identity of 3 or More Persons,Completed,02/05/2022,02/05/2022,0020,02/05/2022,0020,D3,12,3003,"Smith, C.  (1507)",E Shea Bl,Scottsdale,AZ,LFF,Long Form Filed
655107,22-02722  ,13-3415A,Drug Paraphernalia-Possess/Use,Completed,02/05/2022,02/05/2022,0020,02/05/2022,0020,D1,01,201,"Jarrell, A.  (1489)",E Roosevelt St / N Scottsdale Rd,Scottsdale,AZ,CBA,Cleared By Arrest
655108,22-02723  ,28-1381A1,DUI-Impaired to Slightest Degree,Completed,02/05/2022,02/05/2022,0025,02/05/2022,0025,D2,07,903,"Hidalgo, R.  (1602)",E 3rd Av / N Goldwater Bl,Scottsdale,AZ,CBA,Cleared By Arrest
655109,22-02724  ,28-1382A1,Extreme DUI-BAC .15 or More,Completed,02/05/2022,02/05/2022,0032,02/05/2022,0032,D3,09,2306,"Rumann, J.  (1600)",N 82nd St / E McDonald DR,Scottsdale,AZ,CBA,Cleared By Arrest
655110,22-02725  ,IMPOUND,Impound Property,Completed,02/05/2022,02/05/2022,0022,02/05/2022,0022,D3,13,3113,"Kang, J.  (1567)",E Poinsettia DR,Scottsdale,AZ,INAC,Inactive
655111,22-02726  ,19-19A,Urinate/Defecate In Public,Completed,02/05/2022,02/05/2022,0053,02/05/2022,0053,D2,06,904,"Deshotel, S.  (1484)",N Saddlebag Tr,Scottsdale,AZ,CBA,Cleared By Arrest
655112,22-02727  ,28-664A2,Accidents - Fail to Locate Owner,Completed,02/05/2022,02/05/2022,0058,02/05/2022,0058,D4,19,3801,"Miller, D.  (1608)",L101 Frontage Rd Sb / E Princess DR,Scottsdale,AZ,INAC,Inactive
655115,22-02728  ,28-3473A,Suspended/Revoked D.L.,,02/05/2022,02/05/2022,0125,02/05/2022,0125,D3,14,3117,"Hontz, T.  (1569)",N Frank Lloyd Wright Bl / E Shea Bl,Scottsdale,AZ,CBA,Cleared By Arrest
